building,name,area,perim,shape,sample,vertices
yes,iqrha,239.79929,66.65744,0.6782,44,11
yes,venkana,165.02244,55.93362,0.66284,35,9
yes,teresa,249.59334,71.12668,0.61998,74,11
yes,andy,250.91198,65.80998,0.72803,43,10
yes,ranjith,242.5042,68.2445,0.65432,21,9
yes,martha,243.19734,71.10144,0.60452,67,15
yes,ruben,189.7217,68.65772,0.50576,,9
yes,bhavana,269.19271,73.25429,0.63039,5,9
yes,kelvin,864.97308,125.90877,0.68565,,5
yes,ashley,162.73453,51.98467,0.75673,,5
yes,bhojaraj,205.64126,58.87819,0.74544,,7
yes,manohar,169.44047,56.44072,0.66841,62,10
yes,ruben,46.23998,27.98023,0.74221,,5
yes,bhavana,205.76524,61.6852,0.67955,39,9
yes,bhojaraj,220.67046,66.78929,0.62164,12,7
yes,ashley,236.06594,69.92168,0.60676,33,11
yes,martha,253.76623,66.53805,0.72028,,7
yes,iqrha,256.9107,66.36283,0.73306,41,7
yes,venkana,202.43481,66.54904,0.5744,47,9
yes,teresa,225.92814,65.75914,0.65655,,9
yes,andy,127.5678,47.26651,0.71754,24,8
yes,kelvin,189.79215,59.95602,0.66347,73,7
yes,richman,245.89944,65.56161,0.7189,43,7
yes,ruben,41.96001,28.71025,0.63969,,5
yes,venkana,185.84184,55.73544,0.75178,40,7
yes,teesta,247.34206,65.22499,0.7306,41,7
yes,ranjith,331.91859,72.9203,0.78441,66,5
yes,bhojaraj,254.56644,65.7064,0.74096,76,7
yes,richman,152.64463,54.53834,0.64489,,11
yes,ruben,22.32683,19.036,0.77426,,5
yes,teresa,205.29188,66.53996,0.58266,51,15
yes,bhojaraj,162.37951,54.78489,0.67986,35,7
yes,ashley,244.25958,67.69652,0.66977,34,9
yes,richman,264.21397,70.8733,0.661,61,9
yes,iqrha,204.49731,57.28049,0.78322,40,5
yes,bhavana,241.10384,72.72025,0.57293,29,15
yes,ranjith,266.2483,73.39569,0.62109,,13
yes,bhojaraj,194.34542,55.84653,0.78305,,5
yes,ranjith,304.4806,72.40884,0.72977,2,7
yes,richman,71.60702,39.21983,0.585,,6
yes,ruben,125.11647,47.68237,0.69153,,9
yes,bhavana,211.48501,62.90678,0.67157,35,11
yes,teesta,297.445,77.64587,0.61998,57,17
yes,ashley,210.96657,60.4682,0.72505,63,7
yes,richman,257.20937,68.39791,0.69089,,9
yes,richman,147.08264,56.39607,0.58113,,13
yes,ruben,56.61446,32.65918,0.667,,5
